"x.buckets"	"y.buckets"	"score"
1	2	2.67321690517509
1	4	2.67741313952194
2	1	2.67861604528317
2	2	2.68118334710143
1	3	2.68156225147172
2	3	2.68209648022132
1	1	2.68248577771276
1	5	2.68256260590192
2	4	2.68415634986733
1	6	2.68728070042118
3	1	2.68900196900035
3	2	2.68903876024772
5	1	2.69012022692046
4	1	2.69031250156379
1	8	2.69116809335122
7	1	2.69300170257056
3	3	2.69302904958271
1	10	2.69363717802987
4	2	2.6948680346793
2	5	2.69557885882505
1	7	2.69592112927051
6	1	2.69804095796409
3	4	2.69856003121115
10	1	2.70044673378194
2	6	2.7005990216508
8	1	2.70106964666041
5	2	2.70123188891042
7	2	2.70233051019086
9	1	2.70341275910132
2	7	2.70632619504505
1	9	2.70650009734668
6	2	2.71017803523415
4	3	2.71198988317424
2	8	2.71463639943759
4	4	2.71573127308427
5	3	2.71587175048505
8	2	2.71943958481788
6	3	2.72864790657244
2	10	2.7286858321712
3	6	2.7304694723272
7	3	2.73172039840419
3	5	2.73186530889429
9	2	2.73260288751856
10	2	2.73332432591316
3	7	2.73340844788235
4	5	2.734697698118
2	9	2.7349189874684
5	4	2.73683789749926
6	4	2.74426678075487
4	6	2.74467150793721
8	3	2.74625433630633
5	5	2.7511360773008
3	8	2.75362775891785
7	4	2.75606960251153
4	7	2.75802674186431
3	9	2.7586183606206
9	3	2.75868241047365
10	3	2.76525603820421
5	6	2.76721359250471
6	5	2.7682780536936
8	4	2.76909235653332
4	8	2.77394551625415
3	10	2.77707870176724
7	5	2.77829135963479
9	4	2.78305826654061
5	7	2.78451642986701
6	6	2.79436571742215
7	6	2.79444496263128
4	10	2.80230548319683
6	7	2.80241217604464
10	4	2.80286073666638
5	8	2.80429225234785
4	9	2.80576309231875
8	5	2.81233786199508
7	7	2.81633329517451
8	6	2.81741523002576
5	9	2.82314356164578
9	5	2.82828091590909
5	10	2.83237709056035
6	8	2.83351217243599
7	8	2.83652055797604
10	5	2.84261827805662
8	7	2.84767192771661
9	6	2.8482326993165
10	6	2.85536501996687
6	9	2.86194002678886
7	9	2.86567694664477
6	10	2.86740399041355
8	8	2.87701573138814
9	7	2.87847297976014
10	7	2.88526680658095
7	10	2.89117841620446
8	9	2.89415942678886
9	8	2.90553540680043
10	8	2.91412194207603
8	10	2.91521907225006
9	9	2.94591261360008
9	10	2.94793328613105
10	9	2.96734588821379
10	10	2.98723715243036
